"1","Bieling","Bieling","Bieling","Coulombe","Coulombe","Coulombe","Featherly","Featherly","Featherly","Featherly","Blank","Overvote"
"2","","Coulombe","Featherly","","Bieling","Featherly","","Bieling","Coulombe","Overvote","",""
"11-205 Hillside No. 1","40","58","11","60","99","18","117","31","40","0","26","0"
"11-210 Hillside No. 2","68","126","16","145","206","30","250","54","87","0","51","0"
"11-215 Hillside No. 3","44","67","5","99","146","12","139","32","37","0","34","0"
"11-220 Hillside No. 4","36","64","8","112","181","16","141","32","31","0","38","0"
"11-225 Hillside No. 5","35","58","4","127","144","14","188","38","36","0","50","0"
"11-230 Hillside No. 6","39","76","7","130","196","17","220","55","83","0","32","1"
"11-235 Hillside No. 7","31","46","9","110","106","15","169","39","49","0","18","1"
"District 11 - Absentee","68","98","14","239","318","51","772","113","181","1","130","1"
"District 11 - Early Voting","56","69","6","121","239","27","360","65","92","1","42","0"
"District 11  - Question","12","14","1","8","13","2","22","5","4","0","95","0"
"Total","429","676","81","1151","1648","202","2378","464","640","2","516","3"
