"1","DeMars","DeMars","DeMars","DeMars","Hopkins","Hopkins","Hopkins","Tomaszewski","Tomaszewski","Tomaszewski","Tomaszewski","Blank","Overvote"
"2","","Hopkins","Overvote","Tomaszewski","","DeMars","Tomaszewski","","DeMars","Hopkins","Overvote","",""
"34-235 Eielson","3","0","0","33","20","8","10","17","78","0","0","13","0"
"34-238 Eielson Farm Road","4","1","0","5","8","4","2","9","22","2","0","1","0"
"34-240 Farmers Loop","15","3","0","29","350","61","102","126","162","19","0","12","0"
"34-260 Salcha","36","2","0","61","42","8","24","103","131","12","1","10","0"
"34-263 Steele Creek","17","5","0","55","206","45","80","229","326","23","0","18","2"
"34-265 Steese","28","2","0","38","238","35","91","249","295","33","0","28","1"
"34-270 Summit","17","4","0","32","190","41","65","171","263","18","0","16","0"
"34-280 Two Rivers","6","0","0","19","89","22","26","132","156","16","0","8","0"
"District 34 - Absentee","23","2","1","70","463","61","87","158","265","19","1","49","1"
"District 34 - Early Voting","10","5","0","51","576","100","98","197","308","27","0","15","1"
"District 34  - Question","3","1","0","6","10","3","10","20","27","0","0","140","1"
"Total","162","25","1","399","2192","388","595","1411","2033","169","2","310","6"
